Subset,Model,Type,Training Time (s),Accuracy,Precision,Recall,F1-Score,AUCPR,TP,FP,TN,FN
subset_30%,XGBoost,SL,0.0729362964630127,0.9991924440855307,0.9991457588841547,0.9991924440855307,0.9991614339419103,0.5622370653458332,68,16,56848,30
subset_30%,LightGBM,SL,0.07786154747009277,0.9992626663389628,0.9992308273882723,0.9992626663389628,0.9992428779553132,0.6015696171890528,72,16,56848,26
subset_30%,CatBoost,SL,2.834653854370117,0.9993504441557529,0.9993353750095654,0.9993504441557529,0.9993419563939933,0.6509063012391207,77,16,56848,21
subset_30%,Label Propagation,SSL,9.662139177322388,0.9986131104947158,0.9985505918144194,0.9986131104947158,0.998164880130787,0.1957327936115083,20,1,56863,78
subset_30%,Label Spreading,SSL,10.090572595596313,0.9986131104947158,0.9985505918144194,0.9986131104947158,0.998164880130787,0.1957327936115083,20,1,56863,78
subset_30%,KNN,SL,0.6843290328979492,0.9992626663389628,0.9992308273882723,0.9992626663389628,0.9992428779553132,0.6015696171890528,72,16,56848,26
subset_30%,Isolation Forest,UL,1.37082839012146,0.9598679821635476,0.9980470537340165,0.9598679821635476,0.9779229764384156,0.02945276184449341,82,2270,54594,16
subset_30%,Local Outlier Factor,UL,0.26709890365600586,0.963238650328289,0.9980912930911943,0.963238650328289,0.9796865742482973,0.0335174969258294,84,2080,54784,14
subset_30%,Histogram - based outlier detection,UL,0.03152823448181152,0.8954039535128683,0.9981086119727538,0.8954039535128683,0.9431498706898771,0.013267074547308794,88,5948,50916,10
subset_30%,Copula Based Outlier Detector,UL,0.5053284168243408,0.8978441768196341,0.9980502690775633,0.8978441768196341,0.9445090663314721,0.012742988882119544,85,5806,51058,13
subset_30%,KNN Tuned,SL,0.6602299213409424,0.9992451107756047,0.9992049485995558,0.9992451107756047,0.999218340910307,0.5887268498916719,70,15,56849,28
subset_30%,Isolation Forest Tuned,UL,1.4765801429748535,0.9874477721990099,0.9979805008600733,0.9874477721990099,0.9922550483959977,0.0699675605259861,72,689,56175,26
subset_30%,Local Outlier Factor Tuned,UL,0.24473047256469727,0.9914504406446403,0.9982515113259666,0.9914504406446403,0.9944210187575122,0.12435366459774146,82,471,56393,16
subset_30%,Histogram- based outlier detection Tuned,UL,0.04204225540161133,0.8947543976686212,0.9980685509929382,0.8947543976686212,0.9427888179271922,0.0126458929516132,86,5983,50881,12
subset_30%,Random Forest Tuned,SL,0.09354257583618164,0.9989993328885924,0.9988964197248501,0.9989993328885924,0.998912576168157,0.4481077434095475,55,14,56850,43
subset_30%,Multi-layer Perceptron Tuned,SL,1.8243553638458252,0.9990871107053826,0.9990153100880441,0.9990871107053826,0.9990353222508761,0.5035100745875348,62,16,56848,36
subset_30%,XGBoost Tuned,SL,0.1183168888092041,0.9992099996488887,0.9991723603472008,0.9992099996488887,0.9991865513534771,0.5752041994521858,70,17,56847,28
